               hash               | count  | len  
 5b0c8df5fdc07622d667558a875689ae |   1176 |   18
 5e08a8f6ea00e947ef1c874a8fef0640 |    540 |   18
 621368b59f212fb317ec4ca3eb5c1e2e |   2496 |   18
 67861fa367ae8d7f9f292c791383f6f2 |    940 |   18
 6bfc84a903243c58bb97c0d6ed804aa3 |    637 |   18
 7300e85c5e50854475cdadc25104d886 |   1006 |   18
 73635df7457f3102a575ade2e1e48dca |    573 |   18
 7b1cbdaad713e9795067681ed7283e21 |   5454 |   18
 7ee4f52137119b627b18865f6d2322f1 |  94042 |   18
 8338b7c7ae5265cd1bd28a0f01fabd63 |    665 |   18
 9254293abdf8029a5a753aba255ce76d |    555 |   18
 92b154d9f2432e32d8218966b10d8511 |   1332 |   18
 94b0ab644d0f618cb46693c570fbfd7f |    515 |   18
 9ce411fba59d2f69220574999fda5787 |    867 |   18
 a0817559eda148f344fdabc94b46f178 |    512 |   18
 a1af9d7a4349ddc851b658927a777fef |   1081 |   18
 a339097db6ed026202440b4d62b29f5a |    750 |   18
 a87cdc9522a60d6443bf4d494a53e61d |    584 |   18
 ad1c7d23d4a3b50efd14ccb336a3af7a |    858 |   18
 ad6b6b8a1b0229ea1db867689c102234 |   1269 |   18
 b3fe8d9e9cd00ec641557e7eeef44698 |   5156 |   18
 b727ab8dd28f372630ac5917be5e15de |    540 |   18
 be942321e4b231417bc0533264cdf974 |    625 |   18
 c0260b98b0aa2d33ca11d8fdeede47cf |    996 |   18
 c1fab036b657a39776960bfdec93d29f |    535 |   18
 d483d7c1b7c2c14c606d8877c7e853e0 |    952 |   18
 dd00b81b96e5c1add81bb41f27cd7000 |    572 |   18
 de90bd649a25c43b5a47e4f794e7cee5 |   7795 |   18
 e0898d48f09df9c124ac77b71ad73e38 |   1488 |   18
